Spectacle	Choreography	Decor	Costumes	Lightning	Music	Original cast	premiere date	First perf Location	place	coordinate location	Duration	Capsule (Y/N)
Summerspace	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg	Aaron Copp	Morton Feldman	Carolyn Brown	17/08/58	American Dance Festival, Connecticut College	New London	41.354069,-72.10104	00:15:00	Y
						Remy Charlip						
						Merce Cunningham						
						Viola Farber						
						Cynthia Stone						
						Marilyn Wood						
Night Wandering (Nattvandrare)	Merce Cunningham		Nicola Cernovich	Nicola Cernovich	Bo Nilsson	Carolyn Brown	05/10/58	Kungl Teatern	Stockholm	59.329444444444,18.068611111111	00:13:00	Y
			Robert Rauschenberg	Beverly Emmons		Merce Cunningham						
												
From the Poems of White Stone	Merce Cunningham				Chou Wen-Chung	Carolyn Brown	04/03/59	University of Illinois	Urbana	40.109722222222,-88.204166666667		N
						Remy Charlip						
						Merce Cunningham						
						Judith Dunn						
						Viola Farber						
						Marilyn Wood						
Gambit for Dancers and Orchestra	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg		Ben Johnston Gambit	Carolyn Brown	04/03/59	University of Illinois	Urbana	40.109722222222,-88.204166666667	00:17:00	N
						Remy Charlip						
						Merce Cunningham						
						Judith Dunn						
						Viola Farber						
						Marilyn Wood						
Rune	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg	Robert Rauschenberg	Christian Wolff	Merce Cunningham	14/08/59	American Dance Festival, Connecticut College	New London	41.354069,-72.10104	00:25:00	Y
						Remy Charlip						
						Carolyn Brown						
						Judith Dunn						
						Viola Farber						
						Marilyn Wood						
Theater Piece	Merce Cunningham				John Cage	Merce Cunningham	07/03/60	Composer's Showcase, Circle in the Square	New York City	40.67,-73.94		N
						Carolyn Brown						
Crises	Merce Cunningham		Robert Rauschenberg		Conlon Nancarrow	Carolyn Brown	19/08/60	American Dance Festival, Connecticut College	New London	41.354069,-72.10104	00:22:00	Y
						Merce Cunningham						
						Judith Dunn						
						Viola Farber						
						Marilyn Wood						
Hands Birds 	Merce Cunningham		Robert Rauschenberg		Earle Brown	Carolyn Brown	24/09/60	Teatro la Fenice	Venice	45.439722222222,12.331944444444	00:16:50	N
Waka 	Merce Cunningham		Robert Rauschenberg		Toshi Ichiyanagi	Carolyn Brown	24/09/60	Teatro la Fenice	Venice	45.439722222222,12.331944444444	00:07:00	N
Music Walk with Dancers	Merce Cunningham				John Cage	Merce Cunningham	24/09/60	Teatro la Fenice	Venice	45.439722222222,12.331944444444	00:10:00	N
						Carolyn Brown						
