Spectacle	Choreography	Decor	Costumes	Lightning	Music	Original cast	premiere date	First perf Location	place	coordinate location	Duration	Capsule (Y/N)
Views on Stage	Merce Cunningham	Ernesto Neto	James Hall	Josh Johnson	John Cage	Cédric Andrieux	29/10/04	Edinburgh Festival Theatre	Edinburgh	55.95,-3.1988888888889	00:25:00	Y
						Jonah Bokaer						
						Lisa Boudreau						
						Holley Farmer						
						Jennifer Goggans						
						Rashaun Mitchell						
						Koji Mizuta						
						Marcie Munnerlyn						
						Daniel Roberts						
						Daniel Squire						
						Jeannie Steele						
						Robert Swinston						
						Andrea Weber						
eyeSpace (20')	Merce Cunningham	Henry Samelson	Henry Samelson	Josh Johnson	Mikel Rouse	Cédric Andrieux	10/10/06	Joyce Theater	New York City	40.67,-73.94	00:20:00	Y
						Jonah Bokaer						
						Lisa Boudreau						
						Brandon Collwes						
						Julie Cunningham						
						Emma Desjardins						
						Holley Farmer						
						Jennifer Goggans						
						Koji Mizuta						
						Marcie Munnerlyn						
						Daniel Squire						
						Andrea Weber						
eyeSpace (40')	Merce Cunningham	Daniel Arsham	Daniel Arsham	Josh Johnson	Annea Lockwood Jitterbug	Cédric Andrieux	23/02/07	Opera House, Carnival Center	Miami	25.783333333333,-80.216666666667	00:40:00	Y
					David Behrman	Lisa Boudreau						
						Brandon Collwes						
						Emma Desjardins						
						Jennifer Goggans						
						Rashaun Mitchell						
						Marcie Munnerlyn						
						Melissa Toogood						
						Andrea Weber						
						Daniel Squire						
						Koji Mizuta						
						Holley Farmer						
						Jonah Bokaer						
XOVER	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg	Josh Johnson	John Cage	Jonah Bokaer	05/10/07	Dartmouth College: Hopkins Center for the Arts	Hanover	43.702222222222,-72.206111111111	00:21:00	Y
						Lisa Boudreau				43.7083,-72.2772		
						Brandon Collwes						
						Julie Cunningham						
						Emma Desjardins						
						Holley Farmer						
						Jennifer Goggans						
						Daniel Madoff						
						Rashaun Mitchell						
						Koji Mizuta						
						Marcie Munnerlyn						
						Daniel Squire						
						Andrea Weber						
Nearly Ninety	Merce Cunningham	Benedetta Tagliabue	Romeo Gigli	Brian MacDevitt	Takehisa Kosugi	Brandon Collwes	16/04/09	Brooklyn Academy of Music	New York City	40.67,-73.94	01:26:00	Y
					John Paul Jones	Julie Cunningham						
						Emma Desjardins						
						Holley Farmer						
						Jennifer Goggans						
						Daniel Madoff						
						Rashaun Mitchell						
						Koji Mizuta						
						Marcie Munnerlyn						
						Silas Riener						
						Daniel Squire						
						Melissa Toogood						
						Andrea Weber						
Nearly 90^2	Merce Cunningham		Anna Finke	Christine Shallenberg	John Paul Jones	Brandon Collwes	25/09/09	Krannert Center for the Arts	Urbana	40.109722222222,-88.204166666667	01:26:00	Y
					Takehisa Kosugi	Dylan Crossman						
						Julie Cunningham						
						Emma Desjardins						
						Jennifer Goggans						
						John Hinrichs						
						Daniel Madoff						
						Rashaun Mitchell						
						Marcie Munnerlyn						
						Silas Riener						
						Jamie Scott						
						Melissa Toogood						
						Andrea Weber						
